name,state,party,constituency,attendance,debates,questions
Ganapathy Rajkumar P,Tamil Nadu,Dravida Munnetra Kazhagam,Coimbatore,0.931623932,11.0,92.0
K Gopinath,Tamil Nadu,Indian National Congress,Krishnagiri,0.717948718,4.0,57.0
K E Prakash,Tamil Nadu,Dravida Munnetra Kazhagam,Erode,0.931623932,15.0,68.0
Subbarayan K,Tamil Nadu,Communist Party of India,Tiruppur,0.641025641,20.0,102.0
Karti P Chidambaram,Tamil Nadu,Indian National Congress,Sivaganga,0.863247863,13.0,47.0
M K Vishnu Prasad,Tamil Nadu,Indian National Congress,Cuddalore,0.914529915,16.0,107.0
Malaiyarasan D,Tamil Nadu,Dravida Munnetra Kazhagam,Kallakurichi,0.957264957,13.0,109.0
Mani A,Tamil Nadu,Dravida Munnetra Kazhagam,Dharmapuri,0.547008547,4.0,94.0
Matheswaran V S,Tamil Nadu,Dravida Munnetra Kazhagam,Namakkal,0.769230769,7.0,81.0
Murasoli S,Tamil Nadu,Dravida Munnetra Kazhagam,Thanjavur,0.905982906,11.0,45.0
Robert Bruce C,Tamil Nadu,Indian National Congress,Tirunelveli,0.948717949,15.0,44.0
S Jagathratchakan,Tamil Nadu,Dravida Munnetra Kazhagam,Arakkonam,0.452991453,8.0,124.0
