name,state,party,constituency,attendance,debates,questions
Jagannath Sarkar,West Bengal,Bharatiya Janata Party,Ranaghat,0.897435897,1.0,77.0
June Maliah,West Bengal,All India Trinamool Congress,Medinipur,0.777777778,20.0,31.0
Jyotirmay Singh Mahato,West Bengal,Bharatiya Janata Party,Purulia,0.743589744,1.0,30.0
Kakoli Ghosh Dastidar,West Bengal,All India Trinamool Congress,Barasat,0.598290598,4.0,12.0
Kalipada Saren Kherwal,West Bengal,All India Trinamool Congress,Jhargram,0.846153846,16.0,32.0
Kalyan Banerjee,West Bengal,All India Trinamool Congress,Srerampur,0.897435897,24.0,54.0
Kartick Chandra Paul,West Bengal,Bharatiya Janata Party,Raiganj,0.974358974,3.0,5.0
Khagen Murmu,West Bengal,Bharatiya Janata Party,Maldaha Uttar,1.0,28.0,223.0
Khalilur Rahaman,West Bengal,All India Trinamool Congress,Jangipur,0.752136752,12.0,62.0
Mahua Moitra,West Bengal,All India Trinamool Congress,Krishnanagar,0.905982906,13.0,50.0
Mala Roy,West Bengal,All India Trinamool Congress,Kolkata Dakshin,0.273504274,2.0,105.0
Manoj Tigga,West Bengal,Bharatiya Janata Party,Alipurduars,0.957264957,4.0,2.0
Mitali Bag,West Bengal,All India Trinamool Congress,Arambagh,0.658119658,11.0,20.0
Partha Bhowmick,West Bengal,All India Trinamool Congress,Barrackpur,0.162393162,2.0,7.0
Pathan Yusuf,West Bengal,All India Trinamool Congress,Baharampur,0.572649573,7.0,69.0
Pratima Mondal,West Bengal,All India Trinamool Congress,Joynagar,0.837606838,36.0,69.0
Rachna Banerjee,West Bengal,All India Trinamool Congress,Hooghly,0.41025641,4.0,89.0
Sajda Ahmed,West Bengal,All India Trinamool Congress,Uluberia,0.623931624,7.0,53.0
Satabdi Roy,West Bengal,All India Trinamool Congress,Birbhum,0.760683761,12.0,10.0
Saumitra Khan,West Bengal,Bharatiya Janata Party,Bishnupur,0.837606838,14.0,70.0
Sayani Ghosh,West Bengal,All India Trinamool Congress,Jadavpur,0.888888889,11.0,78.0
Sharmila Sarkar,West Bengal,All India Trinamool Congress,Bardhaman Purba,0.777777778,10.0,30.0
Sougata Ray,West Bengal,All India Trinamool Congress,Dum Dum,0.829059829,57.0,134.0
Bishnu Pada Ray,Andaman & Nicobar Islands,Bharatiya Janata Party,Andaman and Nicobar Islands,0.888888889,6.0,23.0
Delkar Kalaben Mohanbhai,Dadra and Nagar Haveli,Bharatiya Janata Party,Dadra and Nagar Haveli,0.88034188,24.0,196.0
Bansuri Swaraj,Delhi,Bharatiya Janata Party,New Delhi,0.948717949,8.0,29.0
Kamaljeet Sehrawat,Delhi,Bharatiya Janata Party,West Delhi,0.948717949,15.0,175.0
Praveen Khandelwal,Delhi,Bharatiya Janata Party,Chandni Chowk,0.991452991,2.0,30.0
Ramvir Singh Bidhuri,Delhi,Bharatiya Janata Party,South Delhi,1.0,23.0,126.0
